observation_point, N, analysis_diff
84,4,11.796024021693484
85,4,-2.6756153543683467
86,4,1.548202195785052
87,4,-51.93512767747143
88,4,-8.01280196487187
89,4,-11.175111287935579
90,4,-1.5848093125068772
91,4,-7.593500335805402
92,4,-7.823039731886638
93,4,-203.19542885711508
94,4,-29.79427563340596
95,4,15.259801022747524
96,4,15.576955091391028
97,4,-3.4977114568609977
98,4,-2.164482055040935
99,4,-13.331763899316684
100,4,16.166633922694928
101,4,7.235692173083407
102,4,0.22210863564305328
103,4,137.42521425081577
104,4,5.905916214688659
105,4,114.81857273553578
106,4,10.064071481119754
107,4,-3.874668470853976
108,4,-2.6401906310320555
109,4,7.932137459524711
110,4,-3.295305099248253
111,4,-1.0126568377036165
112,4,-11.79448765741472
113,4,5.893890429396379
114,4,nan
115,4,0.46092253733058897
116,4,2.2309166953718886
117,4,-18.26321182641186
118,4,0.4761652214474452
119,4,-11.939566971177555
120,4,-0.17514628978733526
121,4,nan
122,4,0.00217592905391939
123,4,-6.344664506013032
124,4,-11.183957808622836
125,4,-20.60970661799547
126,4,-12.060729041771083
127,4,-11.347012465468651
128,4,6.437637753142553
129,4,8.575660979011445
130,4,2.410348666225218
131,4,65.21804533332943
132,4,-1.943247061776674
133,4,4.98101217677231
134,4,-13.823923796134295
0,10,-12.093332667769573
1,10,-1.2128032093942238
2,10,-6.38118133909029
3,10,-27.580104561269764
4,10,7.370893970179168
5,10,27.662036088715467
6,10,nan
7,10,78.95466795013363
8,10,61.063069832118344
9,10,74.02616456172836
10,10,nan
11,10,-0.704037781201805
12,10,71.4968415684425
13,10,-0.8178525584198724
14,10,192.99596660189218
15,10,-5.556184347112321
16,10,0.4954469509966657
17,10,41.64101440998547
18,10,104.92352246896644
19,10,10.65517368325709
20,10,10.336102322288752
21,10,-9.17136889005269
22,10,117.74389151114156
23,10,-17.63903584057698
24,10,39.3557953487898
25,10,5.511706955871887
26,10,18.486849667814568
27,10,-4.324917427932633
28,10,141.7749323914486
29,10,2.3218293406080193
30,10,154.06767537711949
31,10,-6.137303902898566
32,10,-4.653545480273351
33,10,31.167908731080388
34,10,70.76778305493008
35,10,-26.80926666553023
36,10,3.0740412098093657
37,10,14.421901154168154
38,10,146.81419498046034
39,10,-4.796441460305687
40,10,5.7789869899525
41,10,-2.1310627392786046
42,10,3.3021248828699754
43,10,-36.143344123088355
44,10,180.0568679468097
45,10,7.971284485018259
46,10,5.771354943402002
47,10,-10.196701308856063
48,10,230.13621820001754
49,10,0.7970799359663943
50,10,1.0171566445478675
51,10,-35.81313603252056
52,10,-30.742832497902782
53,10,11.03843374054668
54,10,6.619433582563033
55,10,-8.678545233764453
56,10,13.02052682777321
57,10,2.1107797260765437
58,10,-7.045428006417751
59,10,-5.9756441436975365
60,10,27.520027432804454
61,10,3.748034723778801
62,10,39.96536440419641
63,10,4.89273086513731
64,10,20.817854505767173
65,10,-17.95883689843231
66,10,2.290087783809213
67,10,3.257583054589304
68,10,-7.5879018351897685
69,10,18.478034791492973
70,10,-2.2446533317715875
71,10,7.847672319417143
72,10,-5.520836506862906
73,10,-2.811618116133104
74,10,5.207914519846781
75,10,14.021690762164326
76,10,nan
77,10,-5.103400069177951
78,10,0.3546819204602798
79,10,nan
80,10,nan
81,10,-0.8263688822107724
82,10,3.8784208193828817
83,10,-6.353516132550794
84,10,12.901539313445028
85,10,-9.217425881759482
86,10,-0.02271687240954634
87,10,-49.45600992238542
88,10,-7.930012854515553
89,10,-11.235881546791461
90,10,-2.654298995096724
91,10,-7.3785193523872294
92,10,-10.147100800089902
93,10,-181.3461193992498
94,10,-28.198299674057125
95,10,12.81214237093991
96,10,14.162362453947026
97,10,-2.6268531391224315
98,10,-4.071366958093677
99,10,-12.890148550742197
100,10,20.36218142472717
101,10,12.536939245297617
102,10,1.6340899033730238
103,10,141.7910634125219
104,10,4.242197492088053
105,10,119.0955764801156
106,10,15.526199122056823
107,10,-5.692648183080564
108,10,-1.0967177172151423
109,10,8.357921586141856
110,10,-5.84960746158049
111,10,-2.6666224793689253
112,10,-16.748306993907136
113,10,4.860150514066845
114,10,nan
