grid_point, analysis_value, analysis_increment
[10, 21],5542.189230075178,-8.467987733632071
[11, 0],5210.521094774507,-26.95837640091304
[11, 1],5236.946447607987,-16.408241984217966
[11, 2],5268.777262291504,-10.325505336495553
[11, 3],5311.0074482228265,-7.872724106793612
[11, 4],5355.924467185075,-8.135612416409458
[11, 5],5396.686179773289,-8.61587127308485
[11, 6],5438.082065116024,-7.216419122873958
[11, 7],5473.196747216929,-7.01086552452216
[11, 8],5494.505181543706,-5.296952325633356
[11, 9],5507.939406285313,1.6651162640555413
[11, 10],5502.0093993492355,-4.024200950058912
[11, 11],5493.285333346606,-8.835009201224238
[11, 12],5481.584234647608,-14.407416640933661
[11, 13],5468.517141658808,-20.917201771673717
[11, 14],5456.909246054313,-27.20200184643909
[11, 15],5457.22980418768,-23.64687103668075
[11, 16],5405.057260174433,-76.03466484401724
[11, 17],5409.35161862347,-79.08510612462942
[11, 18],5443.851733478963,-61.55648566828859
[11, 19],5488.8278104688625,-39.552120065754025
[11, 20],5535.17294895258,-17.048788356084515
[11, 21],5578.099816979889,1.3278255025225008
[12, 0],5188.5833485265575,-48.19688745485564
[12, 1],5225.675580701871,-30.47156002666361
[12, 2],5280.775147568029,-7.250105893509499
[12, 3],5330.491512134207,-6.681702012079768
[12, 4],5384.355823335704,-6.730491768145839
[12, 5],5428.006697320115,-7.916957398235354
[12, 6],5465.1454008220235,-8.05790972901832
[12, 7],5495.777738343459,-7.086377407675172
[12, 8],5515.355315011198,-4.801039553087321
[12, 9],5533.634698663795,6.767135798191703
[12, 10],5530.098416424388,2.1080885950705124
[12, 11],5524.93931681841,-1.433124770910581
[12, 12],5516.236016741758,-6.806713088158176
[12, 13],5509.916002861978,-9.00054091840775
[12, 14],5503.311655059981,-11.924552347134522
[12, 15],5469.208871827438,-43.63122160451894
[12, 16],5448.5514993879315,-64.10285802264752
[12, 17],5438.454391482068,-79.65526180812685
[12, 18],5462.7089343440575,-71.43222058206084
[12, 19],5514.342982604969,-45.73323222608815
[12, 20],5568.6919748157625,-20.73233438295847
[12, 21],5618.783832115952,0.5755509346117833
[13, 0],5162.9141483747535,-66.07086690691176
[13, 1],5209.170235490118,-49.93510917207186
[13, 2],5275.272426538664,-32.53176746778354
[13, 3],5366.559830499021,-3.973056148201067
[13, 4],5420.475730857166,-4.452868107729046
[13, 5],5456.792034500178,-6.303229542111694
[13, 6],5482.429657536051,-11.084708904192667
[13, 7],5510.551446192841,-9.203909279394793
[13, 8],5534.658141269681,-4.026656342884962
[13, 9],5554.08268573283,4.335137319244495
[13, 10],5559.8344382997475,3.949901711480379
[13, 11],5558.024498881836,-1.3026780264190165
[13, 12],5552.283944567367,-8.196333055369905
[13, 13],5559.531891796848,-0.01274832689887262
[13, 14],5561.608533778157,4.0611942089453805
[13, 15],5531.313062136595,-24.38310416360764
[13, 16],5494.840970665427,-60.502136963567864
[13, 17],5483.964680261646,-75.874461781832
[13, 18],5504.8411410468025,-69.98360840532041
[13, 19],5554.453285656992,-46.91175771919188
[13, 20],5613.149729950498,-18.789619140528885
[13, 21],5649.245425958142,-10.757447705967024
[14, 0],5126.411273268902,-94.39213884768105
[14, 1],5198.326445737886,-65.54306013693349
[14, 2],5288.44000776265,-44.36109419033255
[14, 3],5399.622539524047,-2.9779703807707847
[14, 4],5445.598017208396,-3.014115162079179
[14, 5],5474.584305488877,-4.181530471963924
[14, 6],5496.638602588312,-9.677687654037982
[14, 7],5527.166447651084,-6.916875300436914
[14, 8],5552.418043796268,-5.506962287619899
[14, 9],5579.7887692695995,4.319118026126489
[14, 10],5592.439952680535,4.6160376879852265
[14, 11],5596.350503093864,0.19627220816073532
[14, 12],5599.048620613792,-1.7428232025868056
[14, 13],5610.430892621887,8.000063981086896
[14, 14],5613.7684278315755,11.436880051346634
[14, 15],5589.773918487108,-12.151249545281644
[14, 16],5555.4693437949145,-47.46528959474199
[14, 17],5550.370519699849,-57.75364096888916
[14, 18],5573.4954515125,-48.45544897825039
[14, 19],5621.1462094445715,-25.09746736283978
[14, 20],5670.215580771637,-4.334654784234772
[14, 21],5709.760946836443,9.731581885287596
[15, 0],5134.013166060859,-92.82856628073569
[15, 1],5198.158644413991,-79.09225472691924
[15, 2],5289.658024325513,-62.8943245578339
[15, 3],5392.187202737198,-27.088472915492275
[15, 4],5456.6638518495865,-2.8862072034280573
[15, 5],5481.793033949442,-7.117913500674149
[15, 6],5504.376400474034,-15.723251693276325
[15, 7],5535.809950941705,-16.804250736644462
[15, 8],5565.874736500501,-14.810702479225256
[15, 9],5600.765818730968,-1.4224375159838019
[15, 10],5619.878612873123,2.018864978075726
[15, 11],5631.987654587706,3.5498968696210795
[15, 12],5643.993132387956,8.91526039776727
[15, 13],5657.241480746188,17.654316764263967
[15, 14],5653.742674725761,10.513486160636603
[15, 15],5632.354649502939,-14.35070417305269
[15, 16],5620.570992547386,-30.56044434234991
[15, 17],5632.384401526623,-26.00484924318698
[15, 18],5642.452820328708,-28.9442581487001
[15, 19],5683.389405587641,-8.734148480891236
[15, 20],5742.088137106405,25.66027356210361
[15, 21],5769.73331419478,31.375521337958162
[16, 0],5164.714495403353,-81.69822003375248
[16, 1],5244.714080988145,-54.95277474623617
[16, 2],5320.280399520245,-47.97114871233043
[16, 3],5397.917565077327,-28.71566033392537
[16, 4],5461.4942890932025,-5.334829793996505
[16, 5],5492.046323067299,-11.147620455284596
